flight,time,actual_altitude,measured_altitude,speed,actual_pitch,measured_pitch,roll,state
2,20,1000,998.636,195,0,0.133725,0,CRUISE
2,21,900,901.229,195,-5,-4.74847,0,DESCENT
2,22,800,799.244,195,-5,-5.16708,0,DESCENT
2,23,700,701.004,195,-5,-5.49887,0,DESCENT
2,24,600,598.388,195,-5,-4.66976,0,DESCENT
2,25,500,498.775,195,-5,-5.34379,0,DESCENT
2,26,400,398.224,195,-5,-5.14138,0,DESCENT
2,27,300,300.82,195,-5,-5.09095,0,DESCENT
2,28,200,199.824,195,-5,-5.45402,0,DESCENT
2,29,100,99.5236,195,-5,-4.60965,0,DESCENT
2,30,0,-1.6768,195,-5,-4.88165,0,LANDING
2,31,0,1.08882,165,0,-0.307261,0,LANDING
2,32,0,-0.324569,135,0,0.398323,0,LANDING
2,33,0,0.920852,105,0,-0.152581,0,LANDING
2,34,0,0.397964,75,0,0.0956871,0,LANDING
2,35,0,-1.15138,45,0,0.101655,0,LANDING
2,36,0,-1.23065,15,0,-0.131422,0,LANDING
2,37,0,-1.44813,0,0,0.0137875,0,PARKED
2,38,0,0.548684,0,0,-0.012208,0,PARKED
2,39,0,-1.7892,0,0,-0.437447,0,PARKED
2,40,0,-1.54672,0,0,-0.0228543,0,PARKED
3,1,0,-1.77385,0,0,0.0144527,0,PARKED
3,2,0,0.670393,0,0,-0.133288,0,PARKED
3,3,0,0.20844,15,0,-0.169039,0,TAXI
3,4,0,0.974027,30,0,-0.138266,0,TAXI
3,5,0,-0.0971756,45,0,-0.277607,0,TAXI
3,6,100,100.759,60,10,9.62671,0,TAKEOFF
3,7,200,201.382,75,10,10.0807,0,TAKEOFF
3,8,300,298.726,90,10,9.91036,0,TAKEOFF
3,9,400,401.51,105,10,9.67253,0,CLIMB
3,10,500,499.132,120,10,9.52696,0,CLIMB
3,11,600,599.385,135,10,10.0769,0,CLIMB
3,12,700,699.23,150,25,25.0592,0,CLIMB
3,13,800,800.557,165,25,24.8006,0,CLIMB
3,14,900,898.615,180,25,25.2738,0,CLIMB
3,15,1000,999.563,195,10,9.96123,0,CRUISE
3,16,1000,999.171,195,0,0.185106,0,CRUISE
3,17,1000,998.214,195,0,0.480712,0,CRUISE
3,18,1000,1001.74,195,0,-0.312602,0,CRUISE
3,19,1000,1001.39,195,0,-0.279715,0,CRUISE
3,20,1000,999.447,195,0,-0.371703,0,CRUISE
3,21,900,899.183,195,-5,-4.69545,0,DESCENT
3,22,800,799.761,195,-5,-4.63449,0,DESCENT
3,23,700,701.765,195,-5,-5.24758,0,DESCENT
3,24,600,598.837,195,-5,-4.61492,0,DESCENT
3,25,500,500.642,195,-5,-4.53956,0,DESCENT
3,26,400,400.271,195,-5,-4.66874,0,DESCENT
3,27,300,301.353,195,-5,-4.64959,0,DESCENT
3,28,200,198.624,195,-5,-4.73914,0,DESCENT
3,29,100,101.831,195,-5,-4.76817,0,DESCENT
3,30,0,-1.40345,195,-5,-5.06991,0,LANDING
3,31,0,-0.315444,165,0,0.478306,0,LANDING
3,32,0,0.0739899,135,0,0.198078,0,LANDING
3,33,0,0.392201,105,0,-0.188551,0,LANDING
3,34,0,1.29569,75,0,-0.354764,0,LANDING
3,35,0,-1.42871,45,0,0.0404384,0,LANDING
3,36,0,0.485265,15,0,-0.123488,0,LANDING
3,37,0,-1.79583,0,0,0.320689,0,PARKED
3,38,0,-1.40107,0,0,0.0807341,0,PARKED
3,39,0,1.41191,0,0,0.374761,0,PARKED
3,40,0,0.393557,0,0,0.486874,0,PARKED
4,1,0,1.12908,0,0,-0.0695451,0,PARKED
4,2,0,-1.68647,0,0,-0.406355,0,PARKED
4,3,0,1.48327,15,0,0.131196,0,TAXI
4,4,0,-0.647528,30,0,0.0385041,0,TAXI
4,5,0,1.59509,45,0,0.48617,0,TAXI
4,6,100,99.6627,60,10,10.4219,0,TAKEOFF
4,7,200,201.521,75,10,10.0262,0,TAKEOFF
4,8,300,301.289,90,10,9.95017,0,CLIMB
4,9,400,398.457,105,10,9.75327,0,CLIMB
4,10,500,1500,120,10,9.76895,0,CRUISE
4,11,500,500.804,120,0,-0.14077,0,CLIMB
4,12,600,600.037,135,25,25.1681,0,CLIMB
4,13,700,701.864,150,25,24.5946,0,CLIMB
4,14,800,798.672,165,25,24.8737,0,CLIMB
4,15,900,900.042,180,10,9.78013,0,CLIMB
4,16,1000,999.21,195,10,10.3134,0,CRUISE
4,17,1000,999.079,195,0,-0.333527,0,CRUISE
4,18,1000,999.043,195,0,0.236154,0,CRUISE
4,19,1000,998.856,195,0,0.0978336,0,CRUISE
4,20,1000,998.9,195,0,-0.120361,0,CRUISE
4,21,900,901.863,195,-5,-4.88976,0,DESCENT
4,22,800,801.085,195,-5,-4.84096,0,DESCENT
4,23,700,698.977,195,-5,-4.96045,0,DESCENT
4,24,600,600.461,195,-5,-4.5078,0,DESCENT
4,25,500,499.8,195,-5,-4.53153,0,DESCENT
4,26,400,398.943,195,-5,-5.24193,0,DESCENT
4,27,300,299.623,195,-5,-5.0436,0,DESCENT
4,28,200,198.846,195,-5,-5.03576,0,DESCENT
4,29,100,98.5107,195,-5,-5.015,0,DESCENT
4,30,0,1.76393,195,-5,-5.46698,0,LANDING
4,31,0,1.77226,165,0,-0.466347,0,LANDING
4,32,0,1.59411,135,0,0.482427,0,LANDING
4,33,0,0.462882,105,0,-0.0624853,0,LANDING
4,34,0,1.36763,75,0,0.401885,0,LANDING
4,35,0,0.397127,45,0,0.408158,0,LANDING
4,36,0,-1.42853,15,0,0.193777,0,LANDING
4,37,0,1.55244,0,0,0.41714,0,PARKED
4,38,0,0.141594,0,0,-0.223043,0,PARKED
4,39,0,-1.7369,0,0,0.319342,0,PARKED
4,40,0,0.903375,0,0,-0.234189,0,PARKED
5,1,0,-0.404776,0,0,-0.434872,0,PARKED
5,2,0,-1.69322,0,0,-0.182057,0,PARKED
5,3,0,-1.54868,15,0,0.361742,0,TAXI
5,4,0,1.38802,30,0,0.287849,0,TAXI
5,5,0,0.676851,45,0,0.0352152,0,TAXI
5,6,100,98.7798,60,10,9.61752,0,TAKEOFF
5,7,200,201.031,75,10,9.62367,0,TAKEOFF
5,8,300,298.482,90,10,9.63976,0,TAKEOFF
5,9,400,400.426,105,10,9.72057,0,CLIMB
5,10,500,1500,120,10,9.52847,0,CRUISE
5,11,500,500.732,120,0,-0.247038,0,CLIMB
5,12,600,599.204,135,25,25.0623,0,CLIMB
5,13,700,701.901,150,25,25.0292,0,CLIMB
5,14,800,799.417,165,25,25.4291,0,CLIMB
5,15,900,899.016,180,10,9.95385,0,CLIMB
5,16,1000,1000.13,195,10,10.2863,0,CRUISE
5,17,1000,1001.27,195,0,-0.394769,0,CRUISE
5,18,1000,999.684,195,0,0.0694256,0,CRUISE
5,19,1000,999.237,195,0,-0.242391,0,CRUISE
5,20,1000,1001.9,195,0,-0.013081,0,CRUISE
5,21,900,899.415,195,-5,-5.46906,0,DESCENT
5,22,800,800.166,195,-5,-4.9123,0,DESCENT
5,23,700,698.243,195,-5,-4.76908,0,DESCENT
5,24,600,599.548,195,-5,-4.98682,0,DESCENT
5,25,500,499.439,195,-5,-4.59044,0,DESCENT
5,26,400,400.031,195,-5,-5.44865,0,DESCENT
5,27,300,301.296,195,-5,-5.36413,0,DESCENT
5,28,200,200.352,195,-5,-5.33588,0,DESCENT
5,29,100,101.091,195,-5,-5.10834,0,DESCENT
5,30,0,-1.78083,195,-5,-4.75749,0,LANDING
5,31,0,-1.095,165,0,-0.283121,0,LANDING
5,32,0,0.497831,135,0,-0.209886,0,LANDING
5,33,0,1.70443,105,0,0.488225,0,LANDING
5,34,0,-0.327232,75,0,-0.466557,0,LANDING
5,35,0,-1.84959,45,0,-0.491317,0,LANDING
5,36,0,-1.5869,15,0,-0.0426422,0,LANDING
5,37,0,1.20828,0,0,-0.148199,0,PARKED
5,38,0,1.01672,0,0,-0.00661513,0,PARKED
5,39,0,-1.76467,0,0,-0.0894383,0,PARKED
5,40,0,1.4348,0,0,-0.36685,0,PARKED
6,1,0,1.9821,0,0,0.0805396,0,PARKED
6,2,0,1.25542,0,0,0.0668418,0,PARKED
6,3,0,0.742921,15,0,0.190465,0,TAXI
6,4,0,0.294075,30,0,-0.489091,0,TAXI
6,5,0,0.283303,45,0,-0.262449,0,TAXI
6,6,100,100.698,60,10,10.0856,0,TAKEOFF
6,7,200,199.738,75,10,10.2502,0,TAKEOFF
6,8,300,299.685,90,10,10.3147,0,TAKEOFF
6,9,400,401.482,105,10,10.321,0,CLIMB
6,10,500,1500,120,10,10.3429,0,CRUISE
6,11,500,498.42,120,0,0.292423,0,CLIMB
6,12,600,599.518,135,25,25.4657,0,CLIMB
6,13,700,698.208,150,25,25.0573,0,CLIMB
6,14,800,798.013,165,25,25.2289,0,CLIMB
6,15,900,898.484,180,10,10.2676,0,CLIMB
6,16,1000,998.456,195,10,9.70929,0,CRUISE
6,17,1000,999.663,195,0,-0.0746387,0,CRUISE
6,18,1000,998.992,195,0,-0.165577,0,CRUISE
6,19,1000,999.169,195,0,-0.386779,0,CRUISE
6,20,1000,999.366,195,0,0.0218674,0,CRUISE
6,21,900,901.023,195,-5,-4.69274,0,DESCENT
6,22,800,800.203,195,-5,-5.21146,0,DESCENT
6,23,700,700.257,195,-5,-5.48684,0,DESCENT
6,24,600,601.181,195,-5,-4.80923,0,DESCENT
6,25,500,501.534,195,-5,-4.58478,0,DESCENT
6,26,400,398.032,195,-5,-4.54772,0,DESCENT
6,27,300,298.994,195,-5,-5.14903,0,DESCENT
6,28,200,200.401,195,-5,-5.27953,0,DESCENT
6,29,100,101.262,195,-5,-4.99941,0,DESCENT
6,30,0,-1.94115,195,-5,-4.66187,0,LANDING
6,31,0,1.45299,165,0,-0.0395239,0,LANDING
6,32,0,-0.149493,135,0,-0.249823,0,LANDING
6,33,0,1.29677,105,0,0.315797,0,LANDING
6,34,0,0.950433,75,0,-0.240223,0,LANDING
6,35,0,1.27141,45,0,-0.227737,0,LANDING
6,36,0,0.402509,15,0,-0.203306,0,LANDING
6,37,0,0.916906,0,0,-0.295001,0,PARKED
6,38,0,-0.841717,0,0,-0.387678,0,PARKED
6,39,0,-1.5277,0,0,0.223196,0,PARKED
6,40,0,0.524708,0,0,-0.388278,0,PARKED
7,1,0,0.479808,0,0,0.240899,0,PARKED
7,2,0,-1.82505,0,0,0.450538,0,PARKED
7,3,0,0.788409,15,0,-0.473312,0,TAXI
7,4,0,-0.0863733,30,0,0.30318,0,TAXI
7,5,0,-0.692663,45,0,-0.0317675,0,TAXI
7,6,100,99.2512,60,10,9.54754,0,TAKEOFF
7,7,200,200.492,75,10,9.74022,0,TAKEOFF
7,8,300,298.235,90,10,9.59631,0,TAKEOFF
7,9,400,398.802,105,10,10.0716,0,CLIMB
7,10,500,1500,120,10,9.86504,0,CLIMB
7,11,600,601.959,135,10,10.1238,0,CLIMB
7,12,700,700.566,150,25,25.169,0,CLIMB
7,13,800,800.506,165,25,24.5453,0,CLIMB
7,14,900,899.991,180,25,25.43,0,CLIMB
7,15,1000,1000.95,195,10,9.55711,0,CLIMB
7,16,1100,1099.39,210,10,9.76926,0,CLIMB
7,17,1200,1200.98,225,10,10.2985,0,CLIMB
7,18,1300,1300.89,240,10,10.2093,0,CLIMB
7,19,1400,1399.14,255,10,9.55736,0,CLIMB
7,20,1500,1501.32,270,10,9.60518,0,CLIMB
7,21,1600,1599.77,285,10,10.3065,0,CLIMB
7,22,1700,1698.15,300,10,10.0467,0,CLIMB
7,23,1800,1798.2,315,10,9.7655,0,CLIMB
7,24,1900,1898.74,330,10,10.1942,0,CLIMB
7,25,2000,2001.5,345,10,10.1191,0,CLIMB
7,26,2100,2099.85,360,10,9.82134,0,CLIMB
7,27,2200,2201.31,375,10,9.67776,0,CLIMB
7,28,2300,2298.1,390,10,9.88403,0,CLIMB
7,29,2400,2399.94,405,10,10.3389,0,CLIMB
7,30,2500,2498.55,420,10,9.58254,0,CLIMB
7,31,2600,2599.14,435,10,9.89912,0,CLIMB
7,32,2700,2701.58,450,10,9.65834,0,CLIMB
7,33,2800,2799.39,465,10,9.732,0,CLIMB
7,34,2900,2900.86,480,10,10.0915,0,CLIMB
7,35,3000,2998.35,495,10,10.4617,0,CLIMB
7,36,3100,3098.42,510,10,10.0341,0,CLIMB
7,37,3200,3201.58,525,10,10.1701,0,CLIMB
7,38,3300,3300.98,540,10,9.90599,0,CLIMB
7,39,3400,3398.28,555,10,10.0656,0,CLIMB
7,40,3500,3501.59,570,10,10.4371,0,CLIMB
8,1,0,0.666776,0,0,0.170434,0,PARKED
8,2,0,-0.733825,0,0,0.337875,0,PARKED
8,3,0,0.456416,15,0,-0.298449,0,TAXI
8,4,0,1.07638,30,0,0.166854,0,TAXI
8,5,0,1.69943,45,0,-0.172337,0,TAXI
8,6,100,100.784,60,10,10.2848,0,TAKEOFF
8,7,200,198.19,75,10,9.86466,0,TAKEOFF
8,8,300,300.947,90,10,10.316,0,CLIMB
8,9,400,400.558,105,10,10.2797,0,CLIMB
8,10,500,1500,120,10,9.62886,0,CLIMB
8,11,600,599.83,135,10,9.83386,0,CLIMB
8,12,700,700.741,150,25,25.4232,0,CLIMB
8,13,800,801.68,165,25,24.6191,0,CLIMB
8,14,900,898.782,180,25,25.0156,0,CLIMB
8,15,1000,998.886,195,10,10.44,0,CRUISE
8,16,1000,1001.57,195,0,0.150092,0,CRUISE
8,17,1000,1001.12,195,0,0.345574,0,CRUISE
8,18,1000,998.253,195,0,0.373839,0,CRUISE
8,19,1000,999.921,195,0,-0.331442,0,CRUISE
8,20,1000,999.562,195,0,-0.142742,0,CRUISE
8,21,900,901.595,195,-5,-4.7327,0,DESCENT
8,22,800,800.756,195,-5,-5.01079,0,DESCENT
8,23,700,701.001,195,-5,-4.53088,0,DESCENT
8,24,600,600.123,195,-5,-4.55175,0,DESCENT
8,25,500,499.002,195,-5,-5.30451,0,DESCENT
8,26,400,400.672,195,-5,-4.66377,0,DESCENT
8,27,300,301.894,195,-5,-5.42571,0,DESCENT
8,28,200,198.373,195,-5,-4.6245,0,DESCENT
8,29,100,101.086,195,-5,-4.64655,0,DESCENT
8,30,0,-0.931492,195,-5,-4.88177,0,LANDING
8,31,0,0.929288,165,0,-0.180644,0,LANDING
8,32,0,0.929901,135,0,0.0170925,0,LANDING
8,33,0,1.57987,105,0,-0.339821,0,LANDING
8,34,0,1.40621,75,0,-0.0402787,0,LANDING
8,35,0,1.24682,45,0,-0.201711,0,LANDING
8,36,0,-0.731252,15,0,0.268688,0,LANDING
8,37,0,-0.0083977,0,0,0.460156,0,PARKED
8,38,0,-1.3744,0,0,-0.346882,0,PARKED
8,39,0,1.30541,0,0,-0.356516,0,PARKED
8,40,0,-0.0490168,0,0,0.0845333,0,PARKED
9,1,0,0.557924,0,0,0.278194,0,PARKED
9,2,0,1.89289,0,0,-0.0829788,0,PARKED
9,3,0,-0.376719,15,0,0.139603,0,TAXI
9,4,0,0.379404,30,0,-0.404722,0,TAXI
9,5,0,-0.773662,45,0,-0.0407406,0,TAXI
9,6,100,100.301,60,10,10.2021,0,TAKEOFF
9,7,200,201.802,75,10,9.94648,0,TAKEOFF
9,8,300,300.342,90,10,10.0475,0,CLIMB
9,9,400,399.434,105,10,10.0694,0,CLIMB
9,10,500,1500,120,10,10.145,0,CLIMB
9,11,600,601.844,135,10,10.4821,0,CLIMB
9,12,700,701.696,150,25,25.0438,0,CLIMB
9,13,800,801.763,165,25,25.0409,0,CLIMB
9,14,900,898.864,180,25,24.8348,0,CLIMB
9,15,1000,999.272,195,10,9.50849,0,CRUISE
9,16,1000,1001.08,195,0,-0.0645497,0,CRUISE
9,17,1000,1000.83,195,0,-0.186864,0,CRUISE
9,18,1000,999.395,195,0,0.106544,0,CRUISE
9,19,1000,1000.12,195,0,-0.0436582,0,CRUISE
9,20,1000,1000.23,195,0,0.245273,0,CRUISE
9,21,900,901.99,195,-5,-4.55829,0,DESCENT
9,22,800,799.316,195,-5,-4.98769,0,DESCENT
9,23,700,700.313,195,-5,-4.50719,0,DESCENT
9,24,600,600.76,195,-5,-5.08908,0,DESCENT
9,25,500,498.864,195,-5,-4.99404,0,DESCENT
9,26,400,399.107,195,-5,-4.95893,0,DESCENT
9,27,300,300.323,195,-5,-4.9304,0,DESCENT
9,28,200,198.131,195,-5,-5.03765,0,DESCENT
9,29,100,100.568,195,-5,-5.01178,0,DESCENT
9,30,0,-0.107894,195,-5,-5.25972,0,LANDING
9,31,0,-0.500918,165,0,-0.27314,0,LANDING
9,32,0,-0.0131911,135,0,0.476842,0,LANDING
9,33,0,-0.758874,105,0,0.45601,0,LANDING
9,34,0,-1.47063,75,0,-0.0335375,0,LANDING
9,35,0,0.26597,45,0,0.450986,0,LANDING
9,36,0,-0.286332,15,0,0.242946,0,LANDING
9,37,0,-1.37816,0,0,0.0288295,0,PARKED
9,38,0,0.744094,0,0,-0.0691947,0,PARKED
9,39,0,1.2377,0,0,0.00224954,0,PARKED
9,40,0,-0.178754,0,0,-0.0303739,0,PARKED
